pago_id;run_socio_titular;nombre_socio_titular;anio_membresia;mes_cuota;fecha_vencimiento;monto_membresia;monto_adicionales;monto_total;estado_pago;fecha_pago;medio_pago;registro_incorrecto;tipo_error
1;24887596-8;Mauricio Barrera Duarte;2025;1;5/1/25;25000;0;25000;pagado;3/1/25;transferencia;NO;
2;24887596-8;Mauricio Barrera Duarte;2025;2;5/2/25;25000;5000;30000;pagado;4/2/25;tarjeta;NO;
3;24887596-8;Mauricio Barrera Duarte;2025;3;5/3/25;25000;12000;37000;pagado;1/3/25;transferencia;NO;
4;24887596-8;Mauricio Barrera Duarte;2025;4;5/4/25;25000;5000;30000;pagado;5/4/25;tarjeta;NO;
5;24887596-8;Mauricio Barrera Duarte;2025;5;5/5/25;25000;0;25000;pagado;2/5/25;transferencia;NO;
6;24887596-8;Mauricio Barrera Duarte;2025;6;5/6/25;25000;5000;30000;pagado;4/6/25;tarjeta;NO;
7;24887596-8;Mauricio Barrera Duarte;2025;7;5/7/25;25000;0;25000;pagado;1/7/25;transferencia;NO;
8;24887596-8;Mauricio Barrera Duarte;2025;8;5/8/25;25000;5000;30000;pagado;3/8/25;tarjeta;NO;
9;24887596-8;Mauricio Barrera Duarte;2025;9;5/9/25;25000;12000;37000;pagado;4/9/25;transferencia;NO;
10;24887596-8;Mauricio Barrera Duarte;2025;10;5/10/25;25000;5000;30000;pagado;5/10/25;tarjeta;NO;
11;24887596-8;Mauricio Barrera Duarte;2025;11;5/11/25;25000;0;25000;pagado;2/11/25;transferencia;NO;
12;24887596-8;Mauricio Barrera Duarte;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
13;10336757-5;Claudio Barrera Ortiz;2025;1;5/1/25;25000;0;25000;pagado;2/1/25;tarjeta;NO;
14;10336757-5;Claudio Barrera Ortiz;2025;2;5/2/25;25000;5000;30000;pagado;1/2/25;transferencia;NO;
15;10336757-5;Claudio Barrera Ortiz;2025;3;5/3/25;25000;12000;37000;pagado;4/3/25;tarjeta;NO;
16;10336757-5;Claudio Barrera Ortiz;2025;4;5/4/25;25000;5000;30000;pagado;3/4/25;transferencia;NO;
17;10336757-5;Claudio Barrera Ortiz;2025;5;5/5/25;25000;0;25000;pagado;5/5/25;tarjeta;NO;
18;10336757-5;Claudio Barrera Ortiz;2025;6;5/6/25;25000;5000;30000;pagado;1/6/25;transferencia;NO;
19;10336757-5;Claudio Barrera Ortiz;2025;7;5/7/25;25000;0;25000;pagado;4/7/25;tarjeta;NO;
20;10336757-5;Claudio Barrera Ortiz;2025;8;5/8/25;25000;5000;30000;pagado;2/8/25;transferencia;NO;
21;10336757-5;Claudio Barrera Ortiz;2025;9;5/9/25;25000;12000;37000;pagado;4/9/25;tarjeta;NO;
22;10336757-5;Claudio Barrera Ortiz;2025;10;5/10/25;25000;5000;30000;pagado;1/10/25;transferencia;NO;
23;10336757-5;Claudio Barrera Ortiz;2025;11;5/11/25;25000;0;25000;pagado;4/11/25;tarjeta;NO;
24;10336757-5;Claudio Barrera Ortiz;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
25;11606281-K;Claudio Quezada Ortiz;2025;1;5/1/25;25000;0;25000;pagado;4/1/25;transferencia;NO;
26;11606281-K;Claudio Quezada Ortiz;2025;2;5/2/25;25000;5000;30000;pagado;5/2/25;tarjeta;NO;
27;11606281-K;Claudio Quezada Ortiz;2025;3;5/3/25;25000;12000;37000;pagado;2/3/25;transferencia;NO;
28;11606281-K;Claudio Quezada Ortiz;2025;4;5/4/25;25000;5000;30000;pagado;4/4/25;tarjeta;NO;
29;11606281-K;Claudio Quezada Ortiz;2025;5;5/5/25;25000;0;25000;pagado;1/5/25;transferencia;NO;
30;11606281-K;Claudio Quezada Ortiz;2025;6;5/6/25;25000;5000;30000;pagado;4/6/25;tarjeta;NO;
31;11606281-K;Claudio Quezada Ortiz;2025;7;5/7/25;25000;0;25000;pagado;3/7/25;transferencia;NO;
32;11606281-K;Claudio Quezada Ortiz;2025;8;5/8/25;25000;5000;30000;pagado;5/8/25;tarjeta;NO;
33;11606281-K;Claudio Quezada Ortiz;2025;9;5/9/25;25000;12000;37000;pagado;2/9/25;transferencia;NO;
34;11606281-K;Claudio Quezada Ortiz;2025;10;5/10/25;25000;5000;30000;pagado;4/10/25;tarjeta;NO;
35;11606281-K;Claudio Quezada Ortiz;2025;11;5/11/25;25000;0;25000;pagado;1/11/25;transferencia;NO;
36;11606281-K;Claudio Quezada Ortiz;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
37;6988932-3;Felicia Quezada Fuentes;2025;1;5/1/25;25000;0;25000;pagado;3/1/25;tarjeta;NO;
38;6988932-3;Felicia Quezada Fuentes;2025;2;5/2/25;25000;5000;30000;pagado;1/2/25;transferencia;NO;
39;6988932-3;Felicia Quezada Fuentes;2025;3;5/3/25;25000;12000;37000;pagado;5/3/25;tarjeta;NO;
40;6988932-3;Felicia Quezada Fuentes;2025;4;5/4/25;25000;5000;30000;pagado;2/4/25;transferencia;NO;
41;6988932-3;Felicia Quezada Fuentes;2025;5;5/5/25;25000;0;25000;pagado;4/5/25;tarjeta;NO;
42;6988932-3;Felicia Quezada Fuentes;2025;6;5/6/25;25000;5000;30000;pagado;1/6/25;transferencia;NO;
43;6988932-3;Felicia Quezada Fuentes;2025;7;5/7/25;25000;0;25000;pagado;5/7/25;tarjeta;NO;
44;6988932-3;Felicia Quezada Fuentes;2025;8;5/8/25;25000;5000;30000;pagado;3/8/25;transferencia;NO;
45;6988932-3;Felicia Quezada Fuentes;2025;9;5/9/25;25000;12000;37000;pagado;5/9/25;tarjeta;NO;
46;6988932-3;Felicia Quezada Fuentes;2025;10;5/10/25;25000;5000;30000;pagado;1/10/25;transferencia;NO;
47;6988932-3;Felicia Quezada Fuentes;2025;11;5/11/25;25000;0;25000;pagado;5/11/25;tarjeta;NO;
48;6988932-3;Felicia Quezada Fuentes;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
49;8554458-8;Javiera Mendez Fuentes;2025;1;5/1/25;25000;0;25000;pagado;4/1/25;transferencia;NO;
50;8554458-8;Javiera Mendez Fuentes;2025;2;5/2/25;25000;5000;30000;pagado;5/2/25;tarjeta;NO;
51;8554458-8;Javiera Mendez Fuentes;2025;3;5/3/25;25000;12000;37000;pagado;2/3/25;transferencia;NO;
52;8554458-8;Javiera Mendez Fuentes;2025;4;5/4/25;25000;5000;30000;pagado;3/4/25;tarjeta;NO;
53;8554458-8;Javiera Mendez Fuentes;2025;5;5/5/25;25000;0;25000;pagado;1/5/25;transferencia;NO;
54;8554458-8;Javiera Mendez Fuentes;2025;6;5/6/25;25000;5000;30000;pagado;4/6/25;tarjeta;NO;
55;8554458-8;Javiera Mendez Fuentes;2025;7;5/7/25;25000;0;25000;pagado;2/7/25;transferencia;NO;
56;8554458-8;Javiera Mendez Fuentes;2025;8;5/8/25;25000;5000;30000;pagado;4/8/25;tarjeta;NO;
57;8554458-8;Javiera Mendez Fuentes;2025;9;5/9/25;25000;12000;37000;pagado;1/9/25;transferencia;NO;
58;8554458-8;Javiera Mendez Fuentes;2025;10;5/10/25;25000;5000;30000;pagado;4/10/25;tarjeta;NO;
59;8554458-8;Javiera Mendez Fuentes;2025;11;5/11/25;25000;0;25000;atrasado;;;SI;cuota_impaga
60;8554458-8;Javiera Mendez Fuentes;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
61;20484469-3;Patricia Pardo Fuentes;2025;1;5/1/25;25000;0;25000;pagado;2/1/25;tarjeta;NO;
62;20484469-3;Patricia Pardo Fuentes;2025;2;5/2/25;25000;5000;30000;pagado;1/2/25;transferencia;NO;
63;20484469-3;Patricia Pardo Fuentes;2025;3;5/3/25;25000;12000;37000;pagado;4/3/25;tarjeta;NO;
64;20484469-3;Patricia Pardo Fuentes;2025;4;5/4/25;25000;5000;30000;pagado;3/4/25;transferencia;NO;
65;20484469-3;Patricia Pardo Fuentes;2025;5;5/5/25;25000;0;25000;pagado;5/5/25;tarjeta;NO;
66;20484469-3;Patricia Pardo Fuentes;2025;6;5/6/25;25000;5000;30000;pagado;2/6/25;transferencia;NO;
67;20484469-3;Patricia Pardo Fuentes;2025;7;5/7/25;25000;0;25000;pagado;4/7/25;tarjeta;NO;
68;20484469-3;Patricia Pardo Fuentes;2025;8;5/8/25;25000;5000;30000;pagado;1/8/25;transferencia;NO;
69;20484469-3;Patricia Pardo Fuentes;2025;9;5/9/25;25000;12000;37000;pagado;4/9/25;tarjeta;NO;
70;20484469-3;Patricia Pardo Fuentes;2025;10;5/10/25;25000;5000;30000;pagado;2/10/25;transferencia;NO;
71;20484469-3;Pedro Perez;2025;11;5/11/25;25000;0;25000;atrasado;;;SI;nombre_diferente
72;20484469-3;Patricia Pardo Fuentes;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
73;20848551-2;Daniela Henriquez Fuentes;2025;1;5/1/25;25000;0;25000;pagado;4/1/25;transferencia;NO;
74;20848551-2;Daniela Henriquez Fuentes;2025;2;5/2/25;25000;5000;30000;pagado;5/2/25;tarjeta;NO;
75;20848551-2;Daniela Henriquez Fuentes;2025;3;5/3/25;25000;12000;37000;pagado;3/3/25;transferencia;NO;
76;20848551-2;Daniela Henriquez Fuentes;2025;4;5/4/25;25000;5000;30000;pagado;4/4/25;tarjeta;NO;
77;20848551-2;Daniela Henriquez Fuentes;2025;5;5/5/25;25000;0;25000;pagado;1/5/25;transferencia;NO;
78;20848551-2;Daniela Henriquez Fuentes;2025;6;5/6/25;25000;5000;30000;pagado;4/6/25;tarjeta;NO;
79;20848551-2;Daniela Henriquez Fuentes;2025;7;5/7/25;25000;0;25000;pagado;2/7/25;transferencia;NO;
80;20848551-2;Daniela Henriquez Fuentes;2025;8;5/8/25;25000;5000;30000;pagado;5/8/25;tarjeta;NO;
81;20848551-2;Daniela Henriquez Fuentes;2025;9;5/9/25;25000;12000;37000;pagado;1/9/25;transferencia;NO;
82;20848551-2;Daniela Henriquez Fuentes;2025;10;5/10/25;25000;5000;30000;pagado;4/10/25;tarjeta;NO;
83;20848551-2;Daniela Henriquez Fuentes;2025;11;5/11/25;25000;0;25000;atrasado;;;SI;cuota_impaga
84;20848551-2;Daniela Henriquez Fuentes;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
85;22997716-4;Natalia Duarte Nuñez;2025;1;5/1/25;25000;0;25000;pagado;3/1/25;tarjeta;NO;
86;22997716-4;Natalia Duarte Nuñez;2025;2;5/2/25;25000;5000;30000;pagado;1/2/25;transferencia;NO;
87;22997716-4;Natalia Duarte Nuñez;2025;3;5/3/25;25000;12000;37000;pagado;5/3/25;tarjeta;NO;
88;22997716-4;Natalia Duarte Nuñez;2025;4;5/4/25;25000;5000;30000;pagado;2/4/25;transferencia;NO;
89;22997716-4;Natalia Duarte Nuñez;2025;5;5/5/25;25000;0;25000;pagado;4/5/25;tarjeta;NO;
90;22997716-4;Natalia Duarte Nuñez;2025;6;5/6/25;25000;5000;30000;pagado;1/6/25;transferencia;NO;
91;22997716-4;Natalia Duarte Nuñez;2025;7;5/7/25;25000;0;25000;pagado;5/7/25;tarjeta;NO;
92;22997716-4;Natalia Duarte Nuñez;2025;8;5/8/25;25000;5000;30000;pagado;3/8/25;transferencia;NO;
93;22997716-4;Natalia Duarte Nuñez;2025;9;5/9/25;25000;12000;37000;pagado;5/9/25;tarjeta;NO;
94;22997716-4;Natalia Duarte Nuñez;2025;10;5/10/25;25000;5000;30000;pagado;1/10/25;transferencia;NO;
95;22997716-4;Natalia Duarte Nuñez;2025;11;5/11/25;25000;0;25000;atrasado;;;SI;cuota_impaga
96;22997716-4;Natalia Duarte Nuñez;2025;12;5/12/25;25000;5000;30000;atrasado;;;SI;cuota_impaga
97;15182198-7;Patricia Duarte Espinoza;2025;1;5/1/25;25000;0;25000;pagado;4/1/25;transferencia;NO;
98;15182198-7;Patricia Duarte Espinoza;2025;2;5/2/25;25000;5000;30000;pagado;5/2/25;tarjeta;NO;
99;15182198-7;Patricia Duarte Espinoza;2025;3;5/3/25;25000;12000;37000;pagado;3/3/25;transferencia;NO;
