codigo_reserva;fecha_reserva;fecha_inicio;fecha_fin;estado_reserva;run_reservante;nombre_reservante;es_socio;lugar_nombre;sucursal_nombre;monto_total;monto_pagado;medio_pago;fecha_pago;registro_incorrecto;tipo_error
;17/04/25;17/04/25;23/04/25;ejecutada;21099442-4;Luis Contreras;NO;Cabaña 14;Santa Cruz;720000;720000;transferencia;15/4/25;SI;
;19/12/25;19/12/25;26/12/25;cancelada;7812836-4;Pedro Rojas;SI;Cabaña 12;Santa Cruz;840000;0;;16/12/25;NO;
;15/5/25;15/5/25;15/5/25 14:00;reservada;20408365-7;Maria Gonzalez;SI;Restaurant 2 X;Providencia;30000;0;;14/5/25;SI;referencia/fecha
;06/12/25;06/12/25;07/12/25;reservada;9269949-8;Ana Silva;SI;Cabaña 7;Santiago Centro;120000;0;;6/12/25;NO;
;4/7/25;4/7/25 13:00;4/7/25 14:00;ejecutada;20112516-2;Luis Contreras;NO;Salon Eventos 1;Santiago Centro;100000;100000;efectivo;30/6/25;NO;
;04/06/25;15//25;09/06/25;cancelada;12809545-4;Juan Perez;NO;Cabaña 4;Santiago Centro;600000;0;;31/5/25;SI;fecha
;11/5/25;11/5/25 18:00;11/5/25 19:00;reservada;17503226-6;Juan Perez;SI;Cancha Futbolito Techada;La Florida;35000;0;;8/5/25;NO;
;20/08/25;20/08/25;22/08/25;reservada;17606228-2;Juan Perez;NO;Cabaña 2;La Florida;240000;0;;18/8/25;NO;
;10/01/25;10/01/25;19/01/25;reservada;23311403-0;Ana;NO;Cabaña 9;Providencia;1080000;0;;5/1/25;SI;nombre
;19/08/25;19/08/25;22/08/25;ejecutada;13015768-8;Pedro Rojas;NO;Cabaña 1;Santiago Centro;360000;360000;transferencia;18/8/25;NO;
;5/4/25;5/4/25 14:00;5/4/25 15:00;reservada;18154120-2;Maria Gonzalez;SI;Salon Eventos 2;La Florida;100000;0;;3/4/25;NO;
;19/3/25;19/3/25 13:00;19/3/25 14:00;ejecutada;8805000-2;Maria Gonzalez;NO;Cancha Padel Aire Libre;La Florida;25000;25000;transferencia;14/3/25;NO;
;3/3/25;3/3/25 17:00;3/3/25 18:00;ejecutada;5854603-8;Luis Contreras;SI;Salon Eventos 4;La Florida;100000;100000;tarjeta;1/3/25;NO;
;07/05/25;07/05/25;12/05/25;ejecutada;12075076-3;Juan Perez;SI;Cabaña 7;Santa Cruz;600000;600000;tarjeta;3/5/25;NO;
;12/09/25;12/09/25;19/09/25;ejecutada;21296743-2;Pedro Rojas;NO;Cabaña 16;Providencia;840000;840000;transferencia;12/9/25;SI;
;17/6/25;17/6/25 11:00;17/6/25 12:00;ejecutada;5854603-8;Luis Contreras;SI;Salon Eventos 2;Santiago Centro;100000;100000;tarjeta;14/6/25;NO;
;01/08/25;01/08/25;03/08/25;ejecutada;21349217-9;Luis Contreras;NO;Cabaña 2;Santa Cruz;240000;240000;transferencia;30/7/25;NO;
;16/06/25;16/06/25;26/06/25;ejecutada;20713143-1;Luis Contreras;NO;Cabaña 1;Providencia;1200000;1200000;transferencia;12/6/25;NO;
;04/12/25;04/12/25;10/12/25;cancelada;21099442-4;Luis Contreras;SI;Cabaña 2;Providencia;720000;0;;1/12/25;SI;
;04/02/25;04/02/25;14/02/25;reservada;6946141-7;Ana Silva;NO;Cabaña 1;Santa Cruz;1200000;0;;2/2/25;NO;
;15/3/25;15/3/25 17:00;15/3/25 18:00;cancelada;24967582-2;Maria Gonzalez;SI;Salon Eventos 3 X;Santa Cruz;100000;0;;12/3/25;SI;referencia
;4/1/25;4/1/25 22:00;4/1/25 23:00;reservada;16968310-7;Luis Contreras;NO;Piscina 1;Providencia;20000;0;;2/1/25;NO;
;13/12/25;13/12/25;21/12/25;ejecutada;21178138-6;Ana Silva;SI;Cabaña 2;La Florida;960000;960000;efectivo;13/12/25;NO;
;17/08/25;17/08/25;20/08/25;ejecutada;5643136-5;Juan Perez;NO;Cabaña 17;Providencia;360000;360000;efectivo;14/8/25;NO;
;01/12/25;01/12/25;05/12/25;reservada;18468277-K;Luis Contreras;NO;Cabaña 7;Santa Cruz;480000;0;;29/11/25;NO;
;7/7/25;7/7/25 18:00;7/7/25 19:00;ejecutada;15795747-3;Ana Silva;NO;Cancha Futbolito Aire Libre;La Florida;25000;25000;efectivo;4/7/25;NO;
;1/9/25;1/9/25 17:00;1/9/25 18:00;reservada;14582283-1;Luis Contreras;SI;Salon Eventos 1;Santa Cruz;100000;0;efectivo;30/8/25;SI;medio de pago
;14/08/25;14/08/25;24/08/25;cancelada;16479158-0;Pedro Rojas;NO;Cabaña 10;La Florida;1200000;0;;13/8/25;NO;
;19/6/25;19/6/25 19:00;19/6/25 20:00;cancelada;18053720-9;Ana Silva;SI;Cancha Basquetbol Aire Libre;Santa Cruz;25000;0;;16/6/25;SI;rut
;02/01/25;02/01/25;09/01/25;reservada;24859483-7;Luis Contreras;SI;Cabaña 16;La Florida;840000;0;;30/12/24;NO;
;11/12/25;11/12/25 22:00;11/12/25 23:00;ejecutada;19104958-6;Pedro;NO;Cancha Basquetbol Aire Libre;Santa Cruz;25000;25000;tarjeta;9/12/25;SI;nombre
;02/03/25;02/03/25;08/03/25;ejecutada;13224751-K;Luis Contreras;SI;Cabaña 4;Providencia;720000;720000;efectivo;26/2/25;NO;
;01/12/25;01/12/25;11/12/25;cancelada;16479158-0;Pedro Rojas;SI;Cabaña 18 X;La Florida;1200000;0;;26/11/25;SI;referencia
;12/05/25;12/05/25;19/05/25;reservada;7686256-7;Luis Contreras;NO;Cabaña 10;Santa Cruz;840000;0;;11/5/25;NO;
;16/6/25;16/6/25 9:00;16/6/25 10:00;ejecutada;20713143-1;Luis Contreras;NO;Salon Eventos 1;Providencia;100000;100000;transferencia;11/6/25;NO;
;12/04/25;12/04/25;21/04/25;ejecutada;17263289-0;Juan Perez;NO;Cabaña 1;Providencia;1080000;1080000;efectivo;10/4/25;NO;
;2/2/25;2/2/25 17:00;2/2/25 18:00;reservada;22156789-7;Luis;NO;Restaurant 1;Providencia;30000;0;;29/1/25;SI;nombre
;14/12/25;14/12/25;23/12/25;reservada;15838325-K;Maria Gonzalez;SI;Cabaña 6;La Florida;1080000;0;;9/12/25;NO;
;11/06/25;11/06/25;12/06/25;ejecutada;21743846-2;Pedro Rojas;SI;Cabaña 19;Santiago Centro;120000;120000;transferencia;9/6/25;NO;
;2/1/25;2/1/25 18:00;2/1/25 19:00;cancelada;14155657-6;Pedro Rojas;SI;Cancha Futbolito Aire Libre;Santiago Centro;25000;0;;2/1/25;NO;
;10/12/25;10/12/25 11:00;10/12/25 12:00;ejecutada;21947907-7;Maria Gonzalez;NO;Salon Eventos 4;Providencia;100000;100000;efectivo;8/12/25;NO;
;06/10/25;06/10/25;16/10/25;ejecutada;23498184-6;Juan Perez;SI;Cabaña 11;Providencia;1200000;1200000;tarjeta;3/10/25;NO;
;2/10/25;2/10/25 9:00;2/10/25 10:00;ejecutada;10837704-6;Pedro Rojas;SI;Cancha Padel Aire Libre;Santiago Centro;25000;25000;transferencia;1/10/25;NO;
;04/12/25;04/12/25;12/12/25;ejecutada;6807678-1;Pedro Rojas;NO;Cabaña 18;La Florida;960000;960000;efectivo;29/11/25;NO;
